run_id,trial_index,placement_regime,yellow_position,red_position,yellow_yaw_deg,red_yaw_deg,success,failure_label,completion_time_s,video_path,notes
eval_act_10ep_30k_protocol_v1,1,fixed,fixed_reference_yellow,fixed_reference_red,0.0,0.0,true,,,,
eval_act_10ep_30k_protocol_v1,2,fixed,fixed_reference_yellow,fixed_reference_red,0.0,0.0,false,grasp_failure,,,"Multiple grasp attempts within 20 seconds; none secured the yellow cube"
eval_act_20ep_30k_protocol_v1,1,fixed,fixed_reference_yellow,fixed_reference_red,0.0,0.0,true,,,,Two grasp attempts; succeeded on the second attempt
eval_act_20ep_30k_protocol_v1,2,fixed,fixed_reference_yellow,fixed_reference_red,0.0,0.0,false,unstable_stack,,,"First grasp missed; second grasp succeeded; released too high and the yellow cube rolled off before the 3-second stability criterion"
eval_act_30ep_30k_protocol_v1,1,fixed,fixed_reference_yellow,fixed_reference_red,0.0,0.0,false,drop_in_transit,,,"Two grasp attempts; first grasp succeeded but the yellow cube dropped during transport; second attempt did not complete"
eval_act_30ep_30k_protocol_v1,2,fixed,fixed_reference_yellow,fixed_reference_red,0.0,0.0,false,placement_miss,,,"Grasp was off-center, causing excessive placement error and the yellow cube rolled off"
eval_act_30ep_30k_protocol_v1,3,fixed,fixed_reference_yellow,fixed_reference_red,0.0,0.0,false,placement_miss,,,"Released too high with substantial lateral error from the red cube center, and the yellow cube rolled away"
eval_act_30ep_30k_protocol_v1,4,fixed,fixed_reference_yellow,fixed_reference_red,0.0,0.0,false,grasp_failure,,,"Multiple grasp attempts within 20 seconds; none secured the yellow cube"
eval_act_10ep_30k_protocol_v1,3,fixed,visible_natural_layout,visible_natural_layout,0.0,0.0,false,grasp_failure,,,Multiple grasp attempts within 20 seconds; none secured the yellow cube
eval_act_20ep_30k_protocol_v1,3,fixed,visible_natural_layout,visible_natural_layout,0.0,0.0,false,unstable_stack,,,Released the yellow cube too high; it landed but rolled off before the 3-second stability criterion
eval_act_30ep_30k_protocol_v1,5,fixed,visible_natural_layout,visible_natural_layout,0.0,0.0,false,unstable_stack,,,The yellow cube was placed on the red cube but rolled off before the 3-second stability criterion
eval_act_10ep_30k_protocol_v1,4,fixed,visible_natural_layout,visible_natural_layout,0.0,0.0,true,,,,Successful stack with comparatively smooth motion
eval_act_20ep_30k_protocol_v1,4,fixed,visible_natural_layout,visible_natural_layout,0.0,0.0,true,,,,Successful stack
eval_act_10ep_30k_protocol_v1,5,fixed,visible_natural_layout,visible_natural_layout,0.0,0.0,false,grasp_failure,,,Multiple grasp attempts within 20 seconds; none secured the yellow cube
eval_act_20ep_30k_protocol_v1,5,fixed,visible_natural_layout,visible_natural_layout,0.0,0.0,true,,,,Successful stack
